openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
3,oob,0.001,100,100,100000,0,4.5,3207.6,2.0,0.02617,0.02216,0.00193,9.2e-05,6457511.61,1511989.38,223476.66
3,oob,0.01,100,100,100,0,4.5,235.0,4.4,0.04403,0.02277,0.01979,0.000702,473106.5,110769.2,16372.9
3,oob,0.1,3,3,10,0,4.5,13.4,57.4,0.1703,0.03344,0.14606,0.011372,26976.48,6316.42,933.5
6,oob,0.001,100,100,100000,0,4.5,4375.8,2.1,0.1186299999999999,0.11069,0.00282,6.000000000000001e-06,69396465.6,7931620.62,3526528.5
6,oob,0.01,100,100,100,0,4.5,270.0,5.3,0.14349,0.11232,0.02768,0.0016359999999999,4281819.3,489345.3,217611.9
6,oob,0.1,3,3,10,0,4.5,14.0,59.6,0.2937,0.14188,0.17789,0.031196,222020.26,25373.46,11283.58
12,oob,0.001,100,100,100000,0,4.5,4484.7,2.0,0.10098,0.09135,0.00295,-2.0000000000000005e-05,30625538.130000003,2214811.17,314424.99
12,oob,0.01,100,100,100,0,4.5,270.0,4.4,0.1265,0.09242,0.02847,0.00105,1843658.6,133325.5,18930.1
12,oob,0.1,3,3,10,0,4.5,14.0,58.7,0.2767199999999999,0.12153,0.17869,0.03016,95598.16,6913.339999999999,981.54
14,oob,0.001,100,100,100000,0,4.5,4880.7,2.1,0.28912,0.28205,0.00332,0.000193,33631120.71,2082299.67,339555.15
14,oob,0.01,100,100,100,0,4.5,289.0,4.4,0.31775,0.28442,0.03195,0.002563,1991584.3,123312.8,20104.7
14,oob,0.1,3,3,10,0,4.5,13.6,58.1,0.48378,0.3275599999999999,0.19798,0.045703,93721.86,5802.36,946.14
16,oob,0.001,100,100,100000,0,4.5,5296.5,2.3,0.19749,0.18742,0.00399,-1.8999999999999984e-05,34846830.81,2224800.27,371214.36
16,oob,0.01,100,100,100,0,4.5,301.0,4.9,0.22907,0.18938,0.03557,0.001941,1980401.5,126402.1,21095.3
16,oob,0.1,3,3,10,0,4.5,14.4,66.0,0.40526,0.2362899999999999,0.21176,0.048851,94741.48,6046.82,1009.14
18,oob,0.001,100,100,100000,0,4.5,2088.9,2.0,0.40171,0.3940599999999999,0.000625,-0.000192,4588622.279999999,798805.26,158749.47
18,oob,0.01,100,100,100,0,4.5,212.0,5.0,0.41267,0.39431,0.011585,5.8e-05,465737.9,81074.5,16022.7
18,oob,0.1,3,3,10,0,4.5,11.8,58.8,0.52591,0.40939,0.124825,0.015138,25925.02,4513.780000000001,892.28
21,oob,0.001,100,100,100000,0,4.666666666666667,3608.0,2.0,0.1648,0.1531222222222222,0.0019888888888888,6.0000000000000015e-05,5356469.800000001,1304869.5,190829.1
