openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
8,oob,0.001,100,100,1000,0,4.5,711.0,10.9,0.0436282,0.0399333,0.000945,0.000193,902315.3,182348.4,44963.2
8,oob,0.01,10,10,100,0,4.5,56.7,16.6,0.0493426,0.0401392,0.006659,0.000397,71934.75,14538.06,3585.96
8,oob,0.1,2,2,10,0,4.5,3.5,138.9,0.0832524,0.048485,0.040569,0.008743,4442.42,897.6200000000001,220.82
189,oob,0.001,100,100,1000,0,4.5,1482.0,12.6,0.0261278,0.0240977,0.001828,3.7000000000000005e-05,39693374.0,1028939.4,181599.3
189,oob,0.01,10,10,100,0,4.5,99.9,14.8,0.0369494,0.0245289,0.01265,0.000472,2675702.07,69343.56,12249.09
189,oob,0.1,2,2,10,0,4.5,6.6,127.4,0.102155,0.0353414,0.077856,0.011282,176771.37,4578.88,808.3199999999999
190,oob,0.001,100,100,1000,0,4.5,476.0,7.0,0.1036011999999999,0.1134822,-0.000495,0.000498,464411.2,113394.8,27554.0
190,oob,0.01,10,10,100,0,4.5,63.9,14.7,0.1112287999999999,0.1130214,0.007133,3.500000000000008e-05,62335.8,15220.44,3699.9
190,oob,0.1,2,2,10,0,4.5,5.1,125.4,0.1640914,0.1064921,0.059995,-0.006493,4980.780000000001,1214.86,295.39
191,oob,0.001,100,100,1000,0,4.5,866.0,10.2,0.0815737,0.0829037,0.001616,0.0006,1605562.6,219448.2,53334.8
191,oob,0.01,10,10,100,0,4.5,81.0,14.4,0.0901539,0.0836579,0.010196,0.001356,150129.45,20515.95,4982.4
191,oob,0.1,2,2,10,0,4.5,4.9,127.1,0.1536851,0.0986012,0.073729,0.016298,9081.51,1241.9299999999998,302.02
194,oob,0.001,100,100,1000,0,4.5,664.0,9.6,0.0523159999999999,0.0500117,0.001152,0.000333,839554.2,166914.3,40925.4
194,oob,0.01,10,10,100,0,4.5,60.3,15.5,0.0589093,0.0513737,0.007745,0.001694,76351.86,15170.580000000002,3726.81
194,oob,0.1,2,2,10,0,4.5,3.3,143.0,0.1022300999999999,0.0651869,0.051066,0.015506,4178.09,830.4200000000001,203.85
196,oob,0.001,100,100,1000,0,4.5,948.0,11.9,0.0145130999999999,0.0142641,0.001112,7.9e-05,1382545.4,248095.9,60641.2
196,oob,0.01,10,10,100,0,4.5,69.3,15.0,0.0215852,0.0146046,0.008184,0.0004199999999999,101011.68,18131.85,4432.86
196,oob,0.1,2,2,10,0,4.5,4.7,131.2,0.0661154,0.0247748,0.052716,0.010589,6849.95,1230.16,300.72
201,oob,0.001,100,100,1000,0,4.5,1139.0,12.0,0.0036641,0.0021649,0.00124,4.000000000000001e-06,36112503.4,996203.5,162667.0
201,oob,0.01,10,10,100,0,4.5,81.0,15.0,0.0120042,0.0022707,0.009579,0.0001119999999999,2567908.98,70845.03,11565.18
201,oob,0.1,2,2,10,0,4.5,5.7,126.6,0.0649792,0.0087444999999999,0.062555,0.006586,180764.9,4984.74,813.73
204,oob,0.001,100,100,1000,0,4.5,1893.0,10.8,1.04824,1.04741,0.00236,0.0002159999999999,2820019.7,588367.9,143286.9
204,oob,0.01,10,10,100,0,4.5,188.1,12.8,1.06889,1.05227,0.02301,0.005076,280385.64,58492.98,14348.97
204,oob,0.1,2,2,10,0,4.5,9.9,117.2,1.20763,1.11708,0.16175,0.069886,14756.2,3078.1,760.53
210,oob,0.001,100,100,1000,0,4.5,1366.0,12.3,0.0131673,0.0125895,0.001644,-1.6000000000000003e-05,1403023.2,332112.9,80687.7
210,oob,0.01,10,10,100,0,4.5,91.8,14.6,0.0239308,0.0127723,0.0124079999999999,0.000164,94246.92,22312.620000000003,5423.76
210,oob,0.1,2,2,10,0,4.5,6.2,126.9,0.0941182,0.0185763,0.082594,0.005968,6366.1,1506.78,366.3
216,oob,0.001,100,100,1000,0,4.5,443.0,11.0,0.0025991,0.0020804,0.0004329999999999,9e-06,26736853.4,542395.5,80342.9
216,oob,0.01,10,10,100,0,4.5,36.0,17.2,0.0049582,0.0022334,0.002793,0.000164,2172696.48,44073.36,6530.04
216,oob,0.1,2,2,10,0,4.5,2.0,160.7,0.0199142,0.0071403,0.017748,0.00507,120705.36000000002,2448.52,362.78
227,oob,0.001,100,100,1000,0,4.5,1829.0,12.8,0.0049919,0.0025643,0.002018,2.0000000000000003e-06,59311406.0,1231254.7,241335.6
227,oob,0.01,10,10,100,0,4.5,135.0,13.8,0.0185558,0.0026375,0.015582,7.500000000000001e-05,4377840.75,90875.25,17811.9
227,oob,0.1,2,2,10,0,4.5,9.0,111.7,0.1123532,0.0091443,0.109379,0.006582,291856.05,6058.35,1187.46
